year,doy,temp,GrowthDD,prec,vpd,snowpack,ET,Drain,Soilwater,DWater,DwaterIx,Dwatertot,Foliage,PlantC,BudC,WoodC,RootC,LAI,NetPsnMo,GrsPsnMo,NEE,WoodMR,WoodGR,FolGR,RootGR,RootMR,SoilResp,FoliarN
1706,15,-0.20500000000000007,0,6.28,0.30802608148691,6.589402000000001,0.6908000000000001,11.999797999999997,12.0,1.0,0,0,0.0,900.0,135.0,300.0,97.21820179179055,0,0.0,0.0,-27.523795493899396,0.0,0,0,0.30908868980105,1.2363547592042,27.523795493899396,2.0
1706,46,2.1085,59.038,3.15,0.3378444789549008,0.0,0.3465,9.392902000000001,12.0,1.0,0,0,0.0,900.0,135.0,300.0,94.13967049689589,0,0.0,0.0,-29.09557867018771,0.0,0,0,0.6511477225671238,2.6045908902684953,29.09557867018771,2.0
1706,74,7.0465,277.4795,5.06,0.48587261289491945,0.0,1.2734626059414804,3.7865373940584908,12.0,0.9999999999999993,31,30.99999999999998,300.0,625.7553622624741,135.0,300.0,343.22156921266264,4.626768626499168,26.919279349794774,36.944041609703646,-54.4839229837651,2.5860829126792555,0,33.75,2.97538119859304,11.90152479437216,45.067119420880616,2.0
1706,105,10.1065,580.6745,8.51,0.5760295778207903,0.0,2.701040848468451,5.808959151531542,12.0,1.0,61,60.99999999999998,300.0,694.2222886293798,135.0,300.0,317.310668418005,4.626768626499168,63.09643146470905,76.72135574566518,4.024320336068107,7.956577814875818,0,33.75,5.854370175777223,23.417480703108893,53.70161622644438,2.0
1706,135,13.355,994.6795,10.6,0.6014011896297593,0.0,3.749031166175544,6.850968833824432,12.0,0.9999999999999994,92,91.99999999999996,300.0,799.5822510632261,135.0,300.0,283.0564853504212,4.626768626499168,87.687475634221,107.54649509668728,0.805988195014887,15.484832471643928,10.14423214285714,33.75,9.660390516619866,38.641562066479466,69.20900063958086,2.0
1706,166,18.6915,1555.4245,8.62,0.7918939939672234,0.0,4.340403465045078,4.2795965349549405,12.0,0.9999999999999996,122,121.99999999999994,300.0,945.0902291203101,135.0,300.0,232.6341610300135,4.626768626499168,77.91981919087664,107.26196339480035,-85.94472784449131,22.993169909279953,70.22405357142858,33.75,15.262870996665168,61.05148398666067,96.27638816916048,2.0
1706,196,23.919,2296.9135,9.81,1.2798205651289285,0.0,6.988802684157451,2.8211973158425487,12.0,1.0,153,152.99999999999994,300.0,1032.1716128744533,135.0,300.0,160.40856740796175,4.626768626499168,74.2117674630563,115.62385517879328,-80.60898986825481,31.086839771795482,75.0,33.75,23.28793695467092,93.15174781868367,141.95114104022417,2.0
1706,227,23.490499999999997,3025.119,12.06,1.11998401385478,0.0,6.302062490749052,5.757937509250981,12.0,1.0,184,183.99999999999994,300.0,1113.2162684264092,135.0,300.0,112.69568290124349,4.626768626499168,73.25800704763539,111.23783577600675,-72.40328899871642,38.87348827611596,75.0,33.75,28.589368566528503,114.35747426611401,137.87464754203134,2.0
1706,258,19.773,3618.309,9.36,1.0113520447439437,0.0,4.477866959009997,4.882133040990016,12.0,1.0,214,213.99999999999994,300.0,1179.5955840938066,135.0,300.0,90.32774339727652,4.626768626499168,60.40308348409934,85.37474547568489,-49.19674820986071,44.8497204594139,75.0,33.75,31.074695178080386,124.29878071232154,103.6235995106621,2.0
1706,288,13.840499999999999,4047.3645,8.21,0.6306720659320546,0.0,2.2453122704923416,5.964687729507667,12.0,0.9999999999999992,245,244.99999999999991,270.0,1221.2124160138815,135.0,300.0,80.09162976804801,4.164091763849251,37.88650798014978,53.29034199892792,-37.37581733217494,48.58004439933886,75.0,33.75,32.212041136883556,128.84816454753422,71.53200137239976,2.0
1706,319,7.9485,4285.8195000000005,9.37,0.41548584243107134,0.0,1.2212287762356242,8.148771223764362,12.0,0.9999999999999992,275,274.9999999999999,172.8,1225.6493931023558,135.0,300.0,75.21887762814353,2.5052932263791683,3.6332043241809058,11.482468061334979,-43.54272005734547,49.38381716363231,75.0,33.75,32.75345804131739,131.01383216526955,46.37215161723293,2.0
1706,349,3.9484999999999997,4408.223000000001,9.3,0.29234713032994886,0.0,1.0239658228277877,8.276034177172207,12.0,1.0,306,305.9999999999999,0.0,1222.0755279946602,135.0,300.0,72.04904241966048,0,-3.579655761066999,0.08272361959018357,-40.091895096780995,49.38960781700362,75.0,33.75,33.10566195337106,132.42264781348425,36.50644868234268,2.0
1707,15,0.21750000000000025,6.742500000000008,9.63,0.2829688948571462,-2.1824675357142858,1.0593000000000001,10.753167535714287,12.0,1.0,0,0,0.0,818.7419356000078,130.41961386131663,272.9139785333359,69.95828918177416,0,0.0,0.0,-28.32602295594925,0.0,0,0,0.2323059153207014,0.9292236612828056,28.32602295594925,2.0
